frame,time_extract,time_match,time_essential,time_pose,time_total,n_keypoints,n_matches,n_inliers,inlier_ratio,translation_mag
0,0.22845282500202302,0.0,0.0,0.0,0.22845282500202302,1587,0,0,0.0,0.0
1,0.19088245500461198,0.04761174299346749,0.013844499000697397,0.0022371569939423352,0.2545758539927192,1887,326,229,0.7024539877300614,0.2131102893755364
2,0.25082896900130436,0.020721303997561336,0.015056525997351855,0.0031761090067448094,0.28978290800296236,2000,533,329,0.6172607879924953,0.2131102893755364
3,0.16813782400276978,0.025034524005604908,0.03605960699496791,0.0011074349895352498,0.23033938999287784,2001,153,86,0.5620915032679739,0.21311028937553644
4,0.2135511119995499,0.021598860999802127,0.03815877498709597,0.0017577510006958619,0.27506649898714386,2000,163,96,0.588957055214724,0.21311028937553644
5,0.16661820800800342,0.021634163000271656,0.10844772899872623,0.001441543994587846,0.29814164400158916,2001,207,91,0.4396135265700483,0.21311028937553644
6,0.21195473799889442,0.022908886006916873,0.14477240999985952,0.0012782590056303889,0.3809142930113012,2003,179,76,0.4245810055865922,0.21311028937553644
7,0.17742758299573325,0.027306513002258725,0.2889994519937318,0.0017767879908205941,0.49551033598254435,2000,267,87,0.3258426966292135,0.21311028937553644
8,0.21742382299271412,0.015611581999110058,0.014632353995693848,0.0017796470056055114,0.24944740599312354,1448,232,158,0.6810344827586207,0.21311028937553642
9,0.16863609399297275,0.011240268999245018,0.015213833990856074,0.0024553080002078786,0.19754550498328172,1424,357,255,0.7142857142857143,0.2131102893755364
10,0.2167576259962516,0.011307957000099123,0.01020572600828018,0.002632056988659315,0.2409033659932902,1459,323,237,0.7337461300309598,0.21311028937553644
11,0.167480231000809,0.011714132997440174,0.010630005999701098,0.002827021002303809,0.19265139100025408,1427,333,240,0.7207207207207207,0.21311028937553642
12,0.21555111900670454,0.011462258000392467,0.014065631999983452,0.002670574001967907,0.24374958300904837,1458,362,248,0.6850828729281768,0.21311028937553644
13,0.1689881819911534,0.011445401993114501,0.010595733998343349,0.0029885969997849315,0.19401791498239618,1441,357,248,0.6946778711484594,0.21311028937553642
14,0.21738173300400376,0.011522059998242185,0.012587864010129124,0.0026485910057090223,0.2441402480180841,1465,311,215,0.6913183279742765,0.21311028937553644
15,0.16746576099831145,0.011119251008494757,0.012199019998661242,0.002587303999462165,0.19337133600492962,1388,303,211,0.6963696369636964,0.21311028937553644
16,0.21823220800433774,0.010778399009723216,0.015222914997139014,0.0022196009958861396,0.2464531230070861,1362,309,207,0.6699029126213593,0.2131102893755364
17,0.1684703460050514,0.009751826000865549,0.011731090999091975,0.002454372006468475,0.1924076350114774,1303,290,207,0.7137931034482758,0.21311028937553644
18,0.2138607490051072,0.00928276100603398,0.0155105100129731,0.0018837639945559204,0.2405377840186702,1290,279,182,0.6523297491039427,0.21311028937553642
19,0.16621269800816663,0.00899245499749668,0.02380886100581847,0.0018397340027149767,0.20085374801419675,1265,270,159,0.5888888888888889,0.21311028937553642
20,0.2159542619920103,0.00838919699890539,0.018064807998598553,0.0019721379940165207,0.24438040498353075,1185,284,184,0.647887323943662,0.21311028937553642
21,0.2459970700001577,0.00809711599140428,0.019166519996360876,0.0019524660019669682,0.2752131719898898,1222,284,179,0.6302816901408451,0.21311028937553644
22,0.2133320949942572,0.008342497996636666,0.019201104005333036,0.0020432370074559003,0.2429189340036828,1221,304,190,0.625,0.21311028937553644
23,0.16674015199532732,0.008395331999054179,0.02468180599680636,0.002049649992841296,0.20186693998402916,1221,306,183,0.5980392156862745,0.21311028937553644
24,0.21486754401121289,0.008189343003323302,0.01974369199888315,0.0020035979978274554,0.2448041770112468,1213,299,185,0.6187290969899666,0.21311028937553636
25,0.16564241399464663,0.008322909008711576,0.023331493997829966,0.0019431189866736531,0.19923993598786183,1160,286,187,0.6538461538461539,0.21311028937553642
26,0.3392605820117751,0.008016514999326319,0.01865746900148224,0.002067429988528602,0.3680019960011123,1239,296,185,0.625,0.2131102893755364
27,0.17425363000074867,0.008086147994617932,0.028686816993285902,0.0018256859912071377,0.21285228097985964,1156,270,159,0.5888888888888889,0.21311028937553642
28,0.21471422500326298,0.007735925988527015,0.016599850001512095,0.0018609020044095814,0.24091090299771167,1204,266,180,0.6766917293233082,0.21311028937553642
29,0.16432428400730714,0.008265206008218229,0.015703690994996578,0.0018278670031577349,0.19012104801367968,1149,261,170,0.6513409961685823,0.21311028937553642
30,0.2117220279906178,0.0076604560017585754,0.013946160004707053,0.0021208310063229874,0.2354494750034064,1192,255,171,0.6705882352941176,0.21311028937553644
31,0.16434757701063063,0.007847155997296795,0.009569556001224555,0.0021875990059925243,0.1839518880151445,1173,254,182,0.7165354330708661,0.21311028937553644
32,0.2155632509966381,0.007985645002918318,0.020085930998902768,0.0018203109939349815,0.24545513799239416,1226,258,163,0.6317829457364341,0.2131102893755364
33,0.16690364301030058,0.008229618004406802,0.01724523099255748,0.0019118219934171066,0.19429031400068197,1220,287,185,0.6445993031358885,0.21311028937553642
34,0.16743936701095663,0.008510799001669511,0.01642321899998933,0.0017467480065533891,0.19412013301916886,1263,260,170,0.6538461538461539,0.21311028937553642
35,0.23052683899004478,0.008733391994610429,0.018057623994536698,0.0019188299920642748,0.2592366849712562,1176,286,181,0.6328671328671329,0.21311028937553644
36,0.21330467400548514,0.007590455992612988,0.021992510999552906,0.0018876629910664633,0.2447753039887175,1127,279,172,0.6164874551971327,0.21311028937553642
37,0.16561928899318445,0.007477461011148989,0.04535554099129513,0.001757707999786362,0.22020999899541494,1177,256,135,0.52734375,0.21311028937553642
38,0.2144756280031288,0.008490152991726063,0.04492969700368121,0.0016843769990373403,0.2695798549975734,1130,252,133,0.5277777777777778,0.21311028937553642
39,0.16475971799809486,0.007449180993717164,0.026942668002448045,0.0016157849895535037,0.20076735198381357,1177,233,138,0.592274678111588,0.2131102893755364
40,0.21206622300087474,0.00784998400195036,0.025069454990443774,0.0018857709947042167,0.2468714329879731,1193,283,166,0.5865724381625441,0.21311028937553642
41,0.1652949879935477,0.008301961002871394,0.038950615999056026,0.0018581720069050789,0.2144057370023802,1170,277,149,0.5379061371841155,0.21311028937553642
42,0.2113493969955016,0.007280250996700488,0.04049167499761097,0.0016296180110657588,0.2607509410008788,1097,239,130,0.5439330543933054,0.21311028937553642
43,0.1675677379971603,0.006946495006559417,0.03392339599668048,0.0015919660072540864,0.21002959500765428,1123,226,129,0.5707964601769911,0.21311028937553642
44,0.21335821799584664,0.007171277000452392,0.03708040500350762,0.0015657679905416444,0.2591756679903483,1145,226,124,0.5486725663716814,0.21311028937553642
45,0.16831656599242706,0.007165926988818683,0.023888566007371992,0.0017276679864153266,0.20109872697503306,1099,251,152,0.6055776892430279,0.21311028937553644
46,0.3374471819988685,0.006579650013009086,0.04748691098939162,0.0015361109981313348,0.3930498539994005,1028,223,116,0.5201793721973094,0.21311028937553642
47,0.16429059600341134,0.006468403997132555,0.041435523991822265,0.001431044001947157,0.21362556799431331,1031,206,111,0.5388349514563107,0.2131102893755364
48,0.21844122098991647,0.007051695996779017,0.025705531996209174,0.004221278999466449,0.2554197279823711,1057,211,128,0.6066350710900474,0.21311028937553644
49,0.18639665399678051,0.006148004002170637,0.026049854001030326,0.0015391630004160106,0.2201336750003975,1022,218,131,0.6009174311926605,0.21311028937553642
50,0.22536669799592346,0.005864834995009005,0.04000915899814572,0.0014954519865568727,0.27273614397563506,1008,212,113,0.5330188679245284,0.21311028937553642
51,0.16460767399985343,0.005912142005399801,0.033426567009883,0.0014934450009604916,0.20543982801609673,1031,214,120,0.5607476635514018,0.21311028937553644
52,0.21032274399476591,0.005906377002247609,0.031987519992981106,0.0014197389973560348,0.24963637998735067,1005,206,120,0.5825242718446602,0.21311028937553642
53,0.16356960299890488,0.005929553997702897,0.03251763699518051,0.001427248993422836,0.20344404298521113,1036,207,115,0.5555555555555556,0.21311028937553642
54,0.21070980899094138,0.006120389007264748,0.04336718999547884,0.0015176900051301345,0.2617150779988151,1045,221,118,0.5339366515837104,0.21311028937553636
55,0.1867487919953419,0.009414328000275418,0.09955211699707434,0.0014065170107642189,0.29712175400345586,1066,205,93,0.45365853658536587,0.21311028937553642
56,0.22661378800694365,0.006189496998558752,0.04564705399388913,0.0014458429941441864,0.2798961819935357,1019,206,108,0.5242718446601942,0.21311028937553642
57,0.165075857003103,0.005704661991330795,0.057320141000673175,0.0013517829938791692,0.22945244298898615,972,194,95,0.4896907216494845,0.2131102893755364
58,0.20745225400605705,0.005804372995044105,0.02460700301162433,0.0012653459998546168,0.2391289760125801,1054,176,105,0.5965909090909091,0.21311028937553642
59,0.16690152199589647,0.006829460995504633,0.022141032008221373,0.0012151950068073347,0.1970872100064298,1135,166,113,0.6807228915662651,0.21311028937553642
60,0.2122364349925192,0.007323335987166502,0.023259519002749585,0.001440634994651191,0.24425992497708648,1152,219,138,0.6301369863013698,0.21311028937553642
61,0.16329196699371096,0.007038392999675125,0.018363112001679838,0.0014144860033411533,0.19010795799840707,1090,201,127,0.6318407960199005,0.21311028937553642
62,0.2199846739968052,0.006500511008198373,0.025856726002530195,0.001484123000409454,0.25382603400794324,1054,216,126,0.5833333333333334,0.21311028937553642
63,0.16419442799815442,0.006447227002354339,0.023436406001565047,0.0015919650031719357,0.19567002600524575,1076,234,143,0.6111111111111112,0.21311028937553644
64,0.3548651689925464,0.01540331200521905,0.029245344005175866,0.0020880579977529123,0.4016018830006942,1100,211,139,0.6587677725118484,0.2131102893755364
65,0.16549802100053057,0.006535092004924081,0.020036681002238765,0.0015558029990643263,0.19362559700675774,1051,221,142,0.6425339366515838,0.21311028937553644
66,0.23187030000553932,0.00636212999233976,0.02598092499829363,0.001587115999427624,0.26580047099560034,1062,232,139,0.5991379310344828,0.21311028937553647
67,0.1902797950024251,0.007618910996825434,0.037993838006514125,0.0019697550014825538,0.2378622990072472,969,233,129,0.5536480686695279,0.21311028937553644
68,0.2262892290018499,0.009213030003593303,0.025958911995985545,0.002174151988583617,0.26363532299001236,1054,226,141,0.6238938053097345,0.21311028937553642
69,0.2806432349898387,0.006257907007238828,0.03929391301062424,0.0017655970004852861,0.327960652008187,1029,255,138,0.5411764705882353,0.21311028937553642
70,0.27689562500745524,0.01007226700312458,0.021163562996662222,0.004990760993678123,0.31312221600092016,1080,241,158,0.6556016597510373,0.21311028937553642
71,0.1784826119983336,0.006437466989154927,0.030481006993795745,0.0015827290044398978,0.21698381498572417,1039,230,132,0.5739130434782609,0.21311028937553642
72,0.3514542299963068,0.011349659995175898,0.04163830300967675,0.0016629919991828501,0.4061051850003423,1123,234,127,0.5427350427350427,0.21311028937553644
73,0.16574506201141048,0.007445138995535672,0.05624875100329518,0.0015153069980442524,0.2309542590082856,1182,206,104,0.5048543689320388,0.21311028937553642
74,0.23009324300801381,0.008302293994347565,0.035679089996847324,0.001531682995846495,0.2756063099950552,1249,235,130,0.5531914893617021,0.2131102893755364
75,0.16928260600252543,0.01015622699924279,0.053317070996854454,0.0018830100016202778,0.23463891400024295,1202,255,136,0.5333333333333333,0.21311028937553642
76,0.20849399900180288,0.008893616002751514,0.054652687002089806,0.0015698310016887262,0.2736101330083329,1112,228,116,0.5087719298245614,0.21311028937553644
77,0.22087764900061302,0.011856423006975092,0.07607625899254344,0.002047125992248766,0.3108574569923803,1235,226,110,0.48672566371681414,0.21311028937553644
78,0.2529376550082816,0.00869065200095065,0.06603639399691019,0.001370265003060922,0.32903496600920334,1283,198,95,0.4797979797979798,0.21311028937553644
79,0.19966691499575973,0.014945118993637152,0.16149577200121712,0.0018439539999235421,0.37795175999053754,1519,249,102,0.40963855421686746,0.21311028937553642
80,0.33819715499703307,0.013650920998770744,0.17994546800036915,0.0023607269977219403,0.5341542709938949,1668,321,126,0.3925233644859813,0.21311028937553642
81,0.20108622599218506,0.020390026998938993,0.10345899101230316,0.0020376850006869063,0.3269729290041141,1813,305,133,0.4360655737704918,0.21311028937553644
82,0.1672829820017796,0.019981407007435337,0.08073671600141097,0.0020218440040480345,0.27002294901467394,1965,303,138,0.45544554455445546,0.21311028937553644
83,0.3332863190007629,0.0274506459973054,0.08207699499325827,0.0036267800023779273,0.4464407399937045,1943,336,163,0.4851190476190476,0.21311028937553644
84,0.2634641650074627,0.018983581991051324,0.091872044999036,0.002150101005099714,0.37646989300264977,1777,323,143,0.44272445820433437,0.21311028937553642
85,0.21399144300085027,0.014796987001318485,0.08893065199663397,0.00246444100048393,0.32018352299928665,1511,370,168,0.4540540540540541,0.21311028937553644
86,0.1646823310002219,0.010760420991573483,0.07059114199364558,0.002204598000389524,0.24823849198583048,1287,336,160,0.47619047619047616,0.21311028937553642
87,0.22364546199969482,0.008931100004701875,0.0670152370003052,0.002194490996771492,0.3017862900014734,1199,333,162,0.4864864864864865,0.2131102893755364
88,0.2886647169943899,0.008077962993411347,0.02487826900323853,0.001799503996153362,0.32342045298719313,1188,265,160,0.6037735849056604,0.2131102893755364
89,0.163810251004179,0.00793371899635531,0.01718036999227479,0.0016258630057564005,0.1905502029985655,1212,236,154,0.652542372881356,0.21311028937553642
90,0.16936882201116532,0.0076866919989697635,0.030103398006758653,0.001997373008634895,0.20915628502552863,1136,288,168,0.5833333333333334,0.21311028937553642
91,0.21833849100221414,0.007765336995362304,0.01914407299773302,0.0017493360064690933,0.24699723700177856,1200,256,165,0.64453125,0.21311028937553644
92,0.16471249499591067,0.008133951007039286,0.017721308991895057,0.0020450849988264963,0.19261283999367151,1194,302,192,0.6357615894039735,0.21311028937553644
93,0.21053280899650417,0.00803213300241623,0.025764298989088275,0.001968255004612729,0.2462974959926214,1203,252,148,0.5873015873015873,0.21311028937553642
94,0.17124636498920154,0.008283935996587388,0.028466034986195154,0.0017663170001469553,0.20976265297213104,1195,245,144,0.5877551020408164,0.21311028937553642
95,0.1745461050013546,0.008127830005832948,0.024516877994756214,0.0017854589968919754,0.20897627199883573,1145,246,145,0.5894308943089431,0.21311028937553642
96,0.21804206099477597,0.008150798996211961,0.03780334399198182,0.0017506690055597574,0.2657468729885295,1121,258,139,0.5387596899224806,0.21311028937553642
97,0.23218194700893946,0.008453722999547608,0.06812520700623281,0.001981872002943419,0.3107427490176633,1064,260,146,0.5615384615384615,0.21311028937553642
98,0.17424367999774404,0.006706078987917863,0.0818855160032399,0.0016095240134745836,0.2644447990023764,1115,216,101,0.4675925925925926,0.21311028937553642
99,0.22609720399486832,0.007330973996431567,0.05410239999764599,0.001877280999906361,0.28940785898885224,1152,273,138,0.5054945054945055,0.21311028937553642
100,0.17153064199374057,0.00829215400153771,0.04586956001003273,0.0016230850014835596,0.22731544100679457,1289,237,126,0.5316455696202531,0.21311028937553647
101,0.1672545839974191,0.008791212996584363,0.07209600998612586,0.002865260001271963,0.2510070669814013,1208,289,140,0.4844290657439446,0.21311028937553644
102,0.2529924599948572,0.008236875990405679,0.03940566199889872,0.002037079000729136,0.30267207698489074,1125,245,135,0.5510204081632653,0.21311028937553642
103,0.1659836000035284,0.007723704999079928,0.029355246006161906,0.0016468129906570539,0.2047093639994273,1227,239,139,0.5815899581589958,0.21311028937553642
104,0.21714266399794724,0.00804100200184621,0.044902025008923374,0.0016303489974234253,0.27171604000614025,1174,232,123,0.5301724137931034,0.21311028937553644
105,0.16591718699783087,0.007981785995070823,0.03312146200914867,0.001652346007176675,0.20867278100922704,1235,246,141,0.573170731707317,0.21311028937553644
106,0.21353091599303298,0.008275714993942529,0.06463116699887905,0.0019254920043749735,0.28836328999022953,1207,284,139,0.4894366197183099,0.21311028937553644
107,0.16618008699151687,0.008810550993075594,0.024142739988747053,0.001780509002855979,0.2009138869761955,1331,257,155,0.603112840466926,0.21311028937553642
108,0.2123834590020124,0.009546283996314742,0.022716585008311085,0.0020780500053660944,0.2467243780120043,1307,307,190,0.6188925081433225,0.21311028937553642
109,0.16704235000361223,0.010120309991179965,0.014872275991365314,0.002468791004503146,0.19450372699066065,1429,284,190,0.6690140845070423,0.2131102893755364
110,0.21422610800073016,0.010764949009171687,0.0173078059888212,0.0020919990056427196,0.24439086200436577,1380,313,203,0.6485623003194888,0.21311028937553642
111,0.1685309479944408,0.01119194801140111,0.018907356992713176,0.0020378169865580276,0.2006680699851131,1474,302,197,0.652317880794702,0.21311028937553642
112,0.21188777599309105,0.01182381299440749,0.02060500100196805,0.0023027739953249693,0.24661936398479156,1471,346,221,0.638728323699422,0.2131102893755364
113,0.16900341300060973,0.012004183998215012,0.01836723100859672,0.0024710540019441396,0.2018458820093656,1504,375,240,0.64,0.21311028937553642
114,0.2885589719953714,0.01223267600289546,0.008523097989382222,0.0027225160010857508,0.3120372619887348,1518,324,241,0.7438271604938271,0.21311028937553642
115,0.17388352101261262,0.013938493997557089,0.03433293700800277,0.002339237995329313,0.2244941900135018,1528,368,213,0.5788043478260869,0.21311028937553642
116,0.21715305300313048,0.013066170999081805,0.020335794004495256,0.002141386008588597,0.25269640401529614,1538,324,221,0.6820987654320988,0.21311028937553642
117,0.16908838399103843,0.01320291799493134,0.009868123001069762,0.0027420830010669306,0.19490150798810646,1583,323,231,0.7151702786377709,0.21311028937553644
118,0.2210926709958585,0.015095683993422426,0.011916212999494746,0.002708405998419039,0.2508129739871947,1623,303,214,0.7062706270627063,0.21311028937553644
119,0.17050171400478575,0.014713017997564748,0.012299113994231448,0.0025612129975343123,0.20007505899411626,1649,297,202,0.6801346801346801,0.21311028937553642
120,0.3131889219948789,0.014367196999955922,0.020855724011198618,0.0021043759916210547,0.3505162189976545,1587,313,194,0.6198083067092651,0.21311028937553644
